%fold1,2,3,5
@relation Badges

@attribute firstName0=a {1,0}
@attribute firstName0=b {1,0}
@attribute firstName0=c {1,0}
@attribute firstName0=d {1,0}
@attribute firstName0=e {1,0}
@attribute firstName0=f {1,0}
@attribute firstName0=g {1,0}
@attribute firstName0=h {1,0}
@attribute firstName0=i {1,0}
@attribute firstName0=j {1,0}
@attribute firstName0=k {1,0}
@attribute firstName0=l {1,0}
@attribute firstName0=m {1,0}
@attribute firstName0=n {1,0}
@attribute firstName0=o {1,0}
@attribute firstName0=p {1,0}
@attribute firstName0=q {1,0}
@attribute firstName0=r {1,0}
@attribute firstName0=s {1,0}
@attribute firstName0=t {1,0}
@attribute firstName0=u {1,0}
@attribute firstName0=v {1,0}
@attribute firstName0=w {1,0}
@attribute firstName0=x {1,0}
@attribute firstName0=y {1,0}
@attribute firstName0=z {1,0}
@attribute firstNameN=a {1,0}
@attribute firstNameN=b {1,0}
@attribute firstNameN=c {1,0}
@attribute firstNameN=d {1,0}
@attribute firstNameN=e {1,0}
@attribute firstNameN=f {1,0}
@attribute firstNameN=g {1,0}
@attribute firstNameN=h {1,0}
@attribute firstNameN=i {1,0}
@attribute firstNameN=j {1,0}
@attribute firstNameN=k {1,0}
@attribute firstNameN=l {1,0}
@attribute firstNameN=m {1,0}
@attribute firstNameN=n {1,0}
@attribute firstNameN=o {1,0}
@attribute firstNameN=p {1,0}
@attribute firstNameN=q {1,0}
@attribute firstNameN=r {1,0}
@attribute firstNameN=s {1,0}
@attribute firstNameN=t {1,0}
@attribute firstNameN=u {1,0}
@attribute firstNameN=v {1,0}
@attribute firstNameN=w {1,0}
@attribute firstNameN=x {1,0}
@attribute firstNameN=y {1,0}
@attribute firstNameN=z {1,0}
@attribute lastName0=a {1,0}
@attribute lastName0=b {1,0}
@attribute lastName0=c {1,0}
@attribute lastName0=d {1,0}
@attribute lastName0=e {1,0}
@attribute lastName0=f {1,0}
@attribute lastName0=g {1,0}
@attribute lastName0=h {1,0}
@attribute lastName0=i {1,0}
@attribute lastName0=j {1,0}
@attribute lastName0=k {1,0}
@attribute lastName0=l {1,0}
@attribute lastName0=m {1,0}
@attribute lastName0=n {1,0}
@attribute lastName0=o {1,0}
@attribute lastName0=p {1,0}
@attribute lastName0=q {1,0}
@attribute lastName0=r {1,0}
@attribute lastName0=s {1,0}
@attribute lastName0=t {1,0}
@attribute lastName0=u {1,0}
@attribute lastName0=v {1,0}
@attribute lastName0=w {1,0}
@attribute lastName0=x {1,0}
@attribute lastName0=y {1,0}
@attribute lastName0=z {1,0}
@attribute lastNameN=a {1,0}
@attribute lastNameN=b {1,0}
@attribute lastNameN=c {1,0}
@attribute lastNameN=d {1,0}
@attribute lastNameN=e {1,0}
@attribute lastNameN=f {1,0}
@attribute lastNameN=g {1,0}
@attribute lastNameN=h {1,0}
@attribute lastNameN=i {1,0}
@attribute lastNameN=j {1,0}
@attribute lastNameN=k {1,0}
@attribute lastNameN=l {1,0}
@attribute lastNameN=m {1,0}
@attribute lastNameN=n {1,0}
@attribute lastNameN=o {1,0}
@attribute lastNameN=p {1,0}
@attribute lastNameN=q {1,0}
@attribute lastNameN=r {1,0}
@attribute lastNameN=s {1,0}
@attribute lastNameN=t {1,0}
@attribute lastNameN=u {1,0}
@attribute lastNameN=v {1,0}
@attribute lastNameN=w {1,0}
@attribute lastNameN=x {1,0}
@attribute lastNameN=y {1,0}
@attribute lastNameN=z {1,0}
@attribute firstLength=1 {1,0}
@attribute firstLength=2 {1,0}
@attribute firstLength=3 {1,0}
@attribute firstLength=4 {1,0}
@attribute firstLength=5 {1,0}
@attribute firstLength=6 {1,0}
@attribute firstLength=7 {1,0}
@attribute firstLength=8 {1,0}
@attribute firstLength=9 {1,0}
@attribute firstLength=10 {1,0}
@attribute firstLength=11 {1,0}
@attribute firstLength=12 {1,0}
@attribute firstLength=13 {1,0}
@attribute firstLength=14 {1,0}
@attribute firstLength=15 {1,0}
@attribute lastLength=1 {1,0}
@attribute lastLength=2 {1,0}
@attribute lastLength=3 {1,0}
@attribute lastLength=4 {1,0}
@attribute lastLength=5 {1,0}
@attribute lastLength=6 {1,0}
@attribute lastLength=7 {1,0}
@attribute lastLength=8 {1,0}
@attribute lastLength=9 {1,0}
@attribute lastLength=10 {1,0}
@attribute lastLength=11 {1,0}
@attribute lastLength=12 {1,0}
@attribute lastLength=13 {1,0}
@attribute lastLength=14 {1,0}
@attribute lastLength=15 {1,0}
@attribute Class {+,-}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,+
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,+
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,+
